kpi,,kpiTriton,,kpi_5uMBM3,,kpitriton__5uMBM3,,kpitriton__10uMBM4,,kpi__10uMBM5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
705.0081787,-0.000655714015,705.0081787,0.002735242015,705.0081787,0.003131427569,705.0081787,0.003720274661,705.0081787,0.006804161705,705.0081787,0.008266082034,
704.0033569,-0.001096077147,704.0033569,0.003197763115,704.0033569,0.005526306108,704.0033569,0.004002731759,704.0033569,0.008452679031,704.0033569,0.009740219451,
702.9981689,-0.000780846749,702.9981689,0.002910304116,702.9981689,0.00588621106,702.9981689,0.005095740315,702.9981689,0.008538708091,702.9981689,0.009816998616,
701.9926147,-4.710990834E-5,701.9926147,0.002699451521,701.9926147,0.004810765386,701.9926147,0.004120992497,701.9926147,0.009113181382,701.9926147,0.0107525913,
700.9867554,-0.0008101994172,700.9867554,0.003125899937,700.9867554,0.005887680221,700.9867554,0.004259936512,700.9867554,0.008607960306,700.9867554,0.009606709704,
699.9805298,-0.0002628183574,699.9805298,0.00346581568,699.9805298,0.005667850841,699.9805298,0.005140189547,699.9805298,0.009078869596,699.9805298,0.009758115746,
698.973999,-0.0004098920326,698.973999,0.00202495791,698.973999,0.005287949461,698.973999,0.003209915245,698.973999,0.007985373959,698.973999,0.009614252485,
697.9671631,0.0005954228691,697.9671631,0.003551149508,697.9671631,0.005825366825,697.9671631,0.004191373941,697.9671631,0.01022537146,697.9671631,0.01021972671,
696.960022,-0.001027285354,696.960022,0.003962996416,696.960022,0.004048192874,696.960022,0.005001146812,696.960022,0.0092240097,696.960022,0.01012133434,
695.9524536,0.0002202936739,695.9524536,0.004320404958,695.9524536,0.006648551207,695.9524536,0.006436901167,695.9524536,0.01010938454,695.9524536,0.01120537985,
694.9446411,0.001206874265,694.9446411,0.002283778274,694.9446411,0.005297828466,694.9446411,0.00477841543,694.9446411,0.01067965291,694.9446411,0.01013861038,
693.9364624,-0.0006683788379,693.9364624,0.002886433853,693.9364624,0.005142049398,693.9364624,0.003269038163,693.9364624,0.009052463807,693.9364624,0.01044868771,
692.9279785,-0.0003259890655,692.9279785,0.002446527127,692.9279785,0.004967996851,692.9279785,0.004363520071,692.9279785,0.008847247809,692.9279785,0.01116622798,
692.0632935,6.655792095E-5,692.0632935,0.00288367155,692.0632935,0.004890499637,692.0632935,0.00507277064,692.0632935,0.008741215803,692.0632935,0.01017880905,
691.0541992,0.0003504820925,691.0541992,0.002567333402,691.0541992,0.007785932161,691.0541992,0.005338944029,691.0541992,0.009756527841,691.0541992,0.01216979325,
690.0447388,0.001087483834,690.0447388,0.004795323126,690.0447388,0.005208456889,690.0447388,0.006082971115,690.0447388,0.009864978492,690.0447388,0.01172134466,
689.0350342,-4.286504918E-5,689.0350342,0.002329137642,689.0350342,0.006549861282,689.0350342,0.005832555238,689.0350342,0.01023226231,689.0350342,0.01044036169,
688.0249634,-0.0003373184591,688.0249634,0.003053996712,688.0249634,0.004757844377,688.0249634,0.003608230734,688.0249634,0.01037084311,688.0249634,0.01071475446,
687.0145264,-0.0006543183117,687.0145264,0.00142458675,687.0145264,0.003453656333,687.0145264,0.002134357113,687.0145264,0.008536331356,687.0145264,0.01136337593,
686.0037842,0.0003371143539,686.0037842,0.001992242411,686.0037842,0.004979465622,686.0037842,0.003188714385,686.0037842,0.008478150703,686.0037842,0.01053909119,
684.9927368,0.001580752549,684.9927368,0.003339907387,684.9927368,0.005712594837,684.9927368,0.004143781029,684.9927368,0.008792300709,684.9927368,0.0101677319,
683.9813843,0.001411887002,683.9813843,0.003950692713,683.9813843,0.00487976661,683.9813843,0.006448829081,683.9813843,0.01003822405,683.9813843,0.01286797412,
682.9696655,-2.67134983E-5,682.9696655,0.003074487206,682.9696655,0.007083449047,682.9696655,0.004663062748,682.9696655,0.009381446056,682.9696655,0.01024848223,
681.9577026,0.001030395739,681.9577026,0.003266873304,681.9577026,0.006798902992,681.9577026,0.005390441976,681.9577026,0.01144591719,681.9577026,0.01227757148,
680.9453125,0.0002454942442,680.9453125,0.003499007784,680.9453125,0.005919404794,680.9453125,0.005739768501,680.9453125,0.01219181065,680.9453125,0.01188955829,
679.9326782,0.001195920166,679.9326782,0.004288091324,679.9326782,0.00904493127,679.9326782,0.008055540733,679.9326782,0.01002664678,679.9326782,0.01217314787,
679.0643921,-0.000446820748,679.0643921,0.002280343324,679.0643921,0.00526303146,679.0643921,0.004993160255,679.0643921,0.009599776007,679.0643921,0.01044433936,
678.0511475,0.0006713794428,678.0511475,0.002267852891,678.0511475,0.007620933466,678.0511475,0.008611762896,678.0511475,0.01202632673,678.0511475,0.01082474552,
677.0375977,-0.0006451166701,677.0375977,0.002436478855,677.0375977,0.005498096813,677.0375977,0.004289320204,677.0375977,0.007479382679,677.0375977,0.01124108117,
676.0236816,0.0008733900613,676.0236816,0.001562696532,676.0236816,0.007327400148,676.0236816,0.005150929093,676.0236816,0.01017888822,676.0236816,0.01245239377,
675.0094604,-0.0002961897699,675.0094604,0.002946919994,675.0094604,0.006182421464,675.0094604,0.005864721723,675.0094604,0.009058913216,675.0094604,0.01077421755,
673.9949341,0.002397537231,673.9949341,0.003724295413,673.9949341,0.007557185367,673.9949341,0.006261804141,673.9949341,0.01401076745,673.9949341,0.01364697982,
672.9801025,0.001734271646,672.9801025,0.00289954152,672.9801025,0.007559108082,672.9801025,0.005138879642,672.9801025,0.01148735266,672.9801025,0.01451310795,
671.9649048,0.0009323772974,671.9649048,0.004606287461,671.9649048,0.009809372947,671.9649048,0.006995313801,671.9649048,0.01197196078,671.9649048,0.01135580242,
670.9494629,-0.002156941453,670.9494629,0.003545225132,670.9494629,0.007215263788,670.9494629,0.004851101898,670.9494629,0.0107188141,670.9494629,0.01068092696,
669.9336548,0.002199187409,669.9336548,0.003584269667,669.9336548,0.00715331221,669.9336548,0.006867405493,669.9336548,0.01285176165,669.9336548,0.01559820306,
669.0626831,0.001902274555,669.0626831,0.005540122744,669.0626831,0.008107810281,669.0626831,0.008993236348,669.0626831,0.01149248239,669.0626831,0.01506756432,
668.0463257,0.002087197034,668.0463257,0.002734721173,668.0463257,0.008484829217,668.0463257,0.006384096574,668.0463257,0.0123297656,668.0463257,0.01549225394,
667.0296021,-0.0007787796203,667.0296021,0.001460739877,667.0296021,0.004961084574,667.0296021,0.006472344045,667.0296021,0.0102191437,667.0296021,0.01316007413,
666.0125732,0.002363231964,666.0125732,0.005465406924,666.0125732,0.009773312137,666.0125732,0.007620116696,666.0125732,0.01155380718,666.0125732,0.01673258282,
664.9953003,-0.0007828622474,664.9953003,0.001545576612,664.9953003,0.007525604218,664.9953003,0.004984466825,664.9953003,0.009740484878,664.9953003,0.01251641195,
663.9776001,0.001552616712,663.9776001,0.002778538503,663.9776001,0.00895171985,663.9776001,0.005709132645,663.9776001,0.01129129156,663.9776001,0.01523396932,
