ligand,km,vmax,rsq,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,experiment_number,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk
,,,,,0.097,"[226.8195 228.898  232.2305 230.413  239.7035 238.4035 234.681  234.2685
 235.56   237.7355 239.206  228.0205 235.824  229.655  232.0305 233.2275]",0.016878778097732118,0.0068820418481726755,,0.01,4,150,0,150,0,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.101,"[231.3065 226.627  235.1395 230.175  237.3765 235.5585 233.1585 232.9315
 230.8815 234.2805 240.7975 228.6865 237.7335 231.719  225.5695 226.363 ]",0.01815258784254622,0.006071792706167322,,0.01,4,150,150,150,150,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09099999999999998,"[224.888  230.923  222.651  231.2375 231.09   234.1745 231.205  239.395
 237.1295 239.2415 232.9615 237.2975 236.381  235.666  233.415  232.949 ]",0.019247351253909556,0.008243937166184613,,0.0,0,0,0,0,0,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.077,"[220.383  222.1505 223.848  228.7695 228.961  224.1585 225.5915 228.9275
 230.9545 234.5345 231.824  234.2065 230.2405 230.737  230.1175 230.938 ]",0.01758086072435341,0.0023371991785040474,,0.0,0,0,150,0,150,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.077,"[224.3905 223.895  225.199  229.8815 227.2365 231.4945 226.7325 229.4065
 229.6405 230.8895 232.647  234.2825 231.739  228.5015 230.791  232.0305]",0.012950388645264748,0.004020261185545039,,0.0,0,150,0,150,150,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.101,"[223.1875 228.0815 218.8055 231.739  225.0845 226.9465 226.459  226.7385
 229.3555 231.537  230.5135 230.0035 228.9095 229.044  232.952  230.4485]",0.015192716739002287,0.004343097972645795,,0.0,0,150,150,150,0,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09700000000000002,"[220.0245 224.7645 221.9045 227.201  226.455  230.7785 232.5665 228.649
 229.7085 230.8115 229.1015 230.2435 228.9485 232.0805 230.0355 230.424 ]",0.014925312535504633,0.003678767909685708,,0.0,4,0,0,150,150,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.10500000000000001,"[226.91   225.52   224.552  225.0875 227.1645 225.223  240.895  231.8225
 238.903  229.8895 233.5285 234.357  233.4945 235.503  234.4285 234.7915]",0.021653931183814038,0.007301826255579259,,0.0,4,0,150,150,0,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.093,"[226.944  223.835  221.714  226.0655 230.2295 231.3985 232.866  231.261
 231.222  231.358  233.852  233.622  233.705  234.2415 234.192  233.3355]",0.016403101783532038,0.00574129776270139,,0.0,4,150,0,0,0,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.093,"[226.7185 228.937  222.8725 224.585  229.942  232.482  233.5555 231.3155
 231.753  234.699  234.0915 235.4    234.788  235.19   233.248  235.9575]",0.01667981723931003,0.005897739680024316,,0.0,4,150,150,0,150,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.095,"[229.7655 229.145  228.4305 225.848  228.6655 226.88   232.296  230.356
 229.952  232.8575 234.566  233.336  233.815  234.127  233.5885 234.882 ]",0.012064104127971294,0.005162363799656124,,0.01,0,0,0,150,0,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.08,"[227.308  232.057  223.3865 227.214  225.3385 228.6845 232.544  229.159
 230.026  232.2105 234.2515 232.2575 234.0545 233.5165 234.482  230.022 ]",0.01406030369451445,0.003669695718539437,,0.01,0,0,150,150,150,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.078,"[229.9825 228.594  222.8985 221.7975 226.4735 231.2065 226.978  229.4055
 227.638  231.904  230.42   227.4295 230.6515 236.3585 232.136  234.02  ]",0.015858805839930157,0.0054021600618024395,,0.01,0,150,0,0,150,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.076,"[223.8935 233.992  225.254  224.7265 227.4505 228.465  227.6    230.4905
 231.6385 232.623  231.8485 230.4705 231.3935 234.119  233.214  229.589 ]",0.01377717074211099,0.004654746681256316,,0.01,0,150,150,0,0,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.09899999999999999,"[219.757  227.4145 227.079  224.696  227.888  237.741  225.2255 232.483
 230.922  235.996  234.4145 236.1285 238.949  237.5335 236.3505 234.1805]",0.023773609698663316,0.006523994175349941,,0.01,4,0,0,0,150,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.094,"[229.3585 225.106  223.585  227.0325 228.917  233.645  226.6925 228.138
 225.8735 231.431  226.5595 228.626  233.1815 232.1725 232.908  229.907 ]",0.012989939544902455,0.007209946832906143,,0.01,4,0,150,0,0,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.094,"[228.4065 231.127  224.259  227.416  226.122  225.9445 226.5935 229.753
 231.942  228.4115 226.1125 228.274  233.026  229.6845 232.145  233.028 ]",0.011677460162318444,0.0051700257897486996,,0.01,4,150,0,150,0,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.088,"[228.113  224.76   220.848  221.071  220.534  226.6085 226.8155 224.7255
 234.0695 226.1725 225.825  223.403  232.798  225.45   227.964  230.774 ]",0.016884954955113888,0.006562202374203346,,0.01,4,150,150,150,150,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09199999999999998,"[228.72   229.8175 229.2875 230.8135 235.0395 228.694  232.2715 235.927
 231.4715 225.1365 220.8445 229.379  232.1465 224.0345 224.606  221.1865]",0.018953000807327966,0.00793305321634321,,0.0,0,0,0,0,0,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.077,"[226.803  224.4255 224.047  226.7235 221.99   222.7775 220.9265 224.8605
 225.4415 223.912  219.745  226.3445 227.5165 218.196  218.576  221.2015]",0.012921719573789472,0.0020816659994661317,,0.0,0,0,150,0,150,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.07600000000000001,"[226.8945 224.138  224.081  225.531  229.044  220.0545 225.984  221.909
 226.7955 221.7885 219.062  217.2725 226.709  217.872  213.978  214.6105]",0.020309487938611582,0.002918332857414773,,0.0,0,150,0,150,150,150,0,0.0,False,17,0,2,3700,30,Manual
