baseline,,bm3,,dmsio_1,,dmsio_2,,arachadionicAcid_0.5,,arachadionicAcid_1.0,,arachadionicAcid_1.5,,arachadionicAcid_2.0,,arachadionicAcid_3.0,,arachadionicAcid_4.0,,arachadionicAcid_5.0,,arachadionicAcid_6.0,,arachadionicAcid_7.0,,arachadionicAcid_8.0,,arachadionicAcid_9.0,,arachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
759.0066528,-0.002480801428,759.0066528,0.002299990505,759.0066528,0.008751094341,759.0066528,0.005775495898,759.0066528,0.003482829081,759.0066528,0.003592674155,759.0066528,0.004569296259,759.0066528,0.006523819175,759.0066528,0.006221283693,759.0066528,0.01111550163,759.0066528,0.01404327806,759.0066528,0.008739843033,759.0066528,0.01257321797,759.0066528,0.0104448162,759.0066528,0.01198542491,759.0066528,0.01118235011,
757.9919434,4.737390555E-005,757.9919434,0.0005584085593,757.9919434,0.005921714008,757.9919434,0.004110252019,757.9919434,0.002280707704,757.9919434,0.003926503472,757.9919434,0.00408331072,757.9919434,0.004393145908,757.9919434,0.006868404802,757.9919434,0.01142205112,757.9919434,0.01087291725,757.9919434,0.009670706466,757.9919434,0.01076527499,757.9919434,0.009195956402,757.9919434,0.01153304614,757.9919434,0.0092383679,
757.0117798,-0.001131553436,757.0117798,-0.003419448389,757.0117798,0.005276472773,757.0117798,0.003168609692,757.0117798,0.002618477913,757.0117798,0.002148300409,757.0117798,0.0002094420925,757.0117798,0.002936938312,757.0117798,0.003488830756,757.0117798,0.008636187762,757.0117798,0.007407913916,757.0117798,0.007514963858,757.0117798,0.008335634135,757.0117798,0.008553808555,757.0117798,0.008002539165,757.0117798,0.008256478235,
755.9962769,-0.001290566986,755.9962769,0.003176927799,755.9962769,0.009204972535,755.9962769,0.00428490201,755.9962769,0.003311526962,755.9962769,0.004978523124,755.9962769,0.004590983037,755.9962769,0.00509998342,755.9962769,0.006262118928,755.9962769,0.01052089781,755.9962769,0.01178831421,755.9962769,0.01039995346,755.9962769,0.008997569792,755.9962769,0.008644056506,755.9962769,0.0101187909,755.9962769,0.008856309578,
755.0155029,-0.0009177743341,755.0155029,0.003076781286,755.0155029,0.006616274361,755.0155029,0.002119035227,755.0155029,0.006121929269,755.0155029,0.004819063004,755.0155029,0.003723982023,755.0155029,0.004441184457,755.0155029,0.005033356603,755.0155029,0.009411362931,755.0155029,0.01271926519,755.0155029,0.008575960062,755.0155029,0.008926643059,755.0155029,0.007329479791,755.0155029,0.008158714511,755.0155029,0.009357296862,
753.9992676,-0.001028628205,753.9992676,0.0008745054365,753.9992676,0.006757754367,753.9992676,0.003483455162,753.9992676,0.002695961157,753.9992676,0.004016186576,753.9992676,0.004285215866,753.9992676,0.004022222012,753.9992676,0.00456832815,753.9992676,0.01233613025,753.9992676,0.008647436276,753.9992676,0.008082070388,753.9992676,0.009711735882,753.9992676,0.007328453008,753.9992676,0.008689899929,753.9992676,0.009746308438,
752.982605,0.001092336723,752.982605,0.006947702263,752.982605,0.01005162857,752.982605,0.006524554919,752.982605,0.008370704949,752.982605,0.008258114569,752.982605,0.005862045567,752.982605,0.007046956103,752.982605,0.008477517404,752.982605,0.01195767149,752.982605,0.01169751678,752.982605,0.009559260681,752.982605,0.01298816688,752.982605,0.01170408539,752.982605,0.0108893998,752.982605,0.01323527191,
752.0007324,4.504182016E-006,752.0007324,0.002539992798,752.0007324,0.008311067708,752.0007324,0.004780090414,752.0007324,0.003008144442,752.0007324,0.005840871949,752.0007324,0.004802939482,752.0007324,0.005450780038,752.0007324,0.005926044192,752.0007324,0.009575244039,752.0007324,0.009421838447,752.0007324,0.008876072243,752.0007324,0.01172937639,752.0007324,0.00974728819,752.0007324,0.01081630588,752.0007324,0.01157924905,
750.9833374,0.001562228892,750.9833374,0.004956057295,750.9833374,0.0130299367,750.9833374,0.009347827174,750.9833374,0.005226612557,750.9833374,0.006839398295,750.9833374,0.00752665801,750.9833374,0.008397094905,750.9833374,0.008200655691,750.9833374,0.01123706996,750.9833374,0.01243947446,750.9833374,0.01073197462,750.9833374,0.01249984093,750.9833374,0.01020247396,750.9833374,0.01223014947,750.9833374,0.01222338621,
750.0006104,0.0004136994248,750.0006104,0.003204490989,750.0006104,0.007019411307,750.0006104,0.004874766339,750.0006104,0.003868205473,750.0006104,0.005139534362,750.0006104,0.005095163826,750.0006104,0.006711850874,750.0006104,0.006641427986,750.0006104,0.009299878031,750.0006104,0.01030334923,750.0006104,0.009215760045,750.0006104,0.009685238823,750.0006104,0.008847459219,750.0006104,0.009095813148,750.0006104,0.0113307992,
748.9825439,0.003131271107,748.9825439,0.006931736134,748.9825439,0.01148618292,748.9825439,0.005964778364,748.9825439,0.006902751978,748.9825439,0.007366628386,748.9825439,0.007288333494,748.9825439,0.008444364183,748.9825439,0.009984078817,748.9825439,0.01300881151,748.9825439,0.01299960911,748.9825439,0.01139242016,748.9825439,0.0136727849,748.9825439,0.01216939464,748.9825439,0.01247820817,748.9825439,0.01358370297,
747.9991455,0.0003480986634,747.9991455,0.003063068725,747.9991455,0.008891712874,747.9991455,0.005421291571,747.9991455,0.004446624313,747.9991455,0.005373327527,747.9991455,0.005028276239,747.9991455,0.004773966037,747.9991455,0.00635549007,747.9991455,0.01064797677,747.9991455,0.01150144078,747.9991455,0.007429453079,747.9991455,0.009589005262,747.9991455,0.01045041159,747.9991455,0.01137310173,747.9991455,0.0115839811,
747.0154419,-0.001322517521,747.0154419,0.001331204898,747.0154419,0.006417381112,747.0154419,0.00268866797,747.0154419,0.002816367894,747.0154419,0.002382544568,747.0154419,0.001983322902,747.0154419,0.001185822883,747.0154419,0.004867122509,747.0154419,0.007962225005,747.0154419,0.008582586423,747.0154419,0.006921609864,747.0154419,0.009869930334,747.0154419,0.007703030016,747.0154419,0.008616779931,747.0154419,0.00728696445,
745.9962158,0.0009772325866,745.9962158,0.002901548054,745.9962158,0.009439510293,745.9962158,0.004591768142,745.9962158,0.00440339651,745.9962158,0.005168087315,745.9962158,0.002745583886,745.9962158,0.00362013327,745.9962158,0.006332559045,745.9962158,0.009543199092,745.9962158,0.01060561277,745.9962158,0.005848795641,745.9962158,0.01113441028,745.9962158,0.009114370681,745.9962158,0.01056290884,745.9962158,0.01092619076,
745.0117798,0.002369322348,745.0117798,0.003748420626,745.0117798,0.01099627651,745.0117798,0.006747080013,745.0117798,0.005601923447,745.0117798,0.008170821704,745.0117798,0.005430832505,745.0117798,0.006851468701,745.0117798,0.007856936194,745.0117798,0.01118686609,745.0117798,0.01233583782,745.0117798,0.01152884588,745.0117798,0.01150566712,745.0117798,0.01043710019,745.0117798,0.01167629659,745.0117798,0.01286632009,
743.9917603,-0.001696561696,743.9917603,0.001030862797,743.9917603,0.00612003915,743.9917603,0.002995659132,743.9917603,0.002891384996,743.9917603,0.004344171379,743.9917603,0.002348422771,743.9917603,0.002861105604,743.9917603,0.00610265974,743.9917603,0.00851325877,743.9917603,0.009332858026,743.9917603,0.008199679665,743.9917603,0.01064208802,743.9917603,0.007640428841,743.9917603,0.008557663299,743.9917603,0.0103010172,
