2019-12-21 17:39:38.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.069	Gage.cpp(333)	INFO	--> [LAB11eX] : Dynamic range update not needed"
2019-12-21 17:39:39.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.303	SOAPFluidTransferProxy.cpp(916)	INFO	PresentDstPlateGripper() END"
2019-12-21 17:39:39.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.340	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:39.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.412	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:39.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.451	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:39.3,,Debug,OnEndExtendDestinationPlateGripper,Event,,192.168.0.25,,
2019-12-21 17:39:39.3,,Debug,Pause,Action,,192.168.0.25,,"Paused"
2019-12-21 17:39:39.3,,Debug,OnInsertDestinationPlate,Event,,192.168.0.25,,
2019-12-21 17:39:39.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.763	PlateSurveyService.cpp(938)	INFO	Starting Plate Survey: @well B1; rows=4; cols=11"
2019-12-21 17:39:40.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:08.453	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:40.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:08.491	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:40.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:08.770	PlateSurveyAnalyzer.cpp(413)	INFO	Analyzing B1B2B3B4B5B6B7B8B9B10B11"
2019-12-21 17:39:41.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:09.623	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:41.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:09.671	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:41.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:10.121	PlateSurveyAnalyzer.cpp(413)	INFO	Analyzing C1C2C3C4C5C6C7C8C9C10C11"
2019-12-21 17:39:42.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:10.795	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:42.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:10.835	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:43.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:11.475	PlateSurveyAnalyzer.cpp(413)	INFO	Analyzing D1D2D3D4D5D6D7D8D9D10D11"
2019-12-21 17:39:43.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:11.892	SOAPFluidTransferProxy.cpp(179)	INFO	SetBarcodesCheck() START"
2019-12-21 17:39:43.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:11.893	SOAPFluidTransferProxy.cpp(916)	INFO	SetBarcodesCheck() END"
