BLANK,,Workingstovck,,Workingstovck1,,Workingstovck2,,Workingstovck3,,NewWorkingstock,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
725.0108032,0.0002142592275,725.0108032,0.02195956185,725.0108032,0.03889515996,725.0108032,0.01848249696,725.0108032,0.007002469152,725.0108032,0.0319371894,
724.012146,-8.334482118E-5,724.012146,0.0221718885,724.012146,0.03780442104,724.012146,0.01807740703,724.012146,0.007194603793,724.012146,0.0312323682,
723.0131836,0.0008074605139,723.0131836,0.02362978086,723.0131836,0.039704822,723.0131836,0.01912608743,723.0131836,0.007379055489,723.0131836,0.0327802822,
722.013855,-0.001955417916,722.013855,0.02058859542,722.013855,0.03791861236,722.013855,0.01623062417,722.013855,0.004848929588,722.013855,0.03085595556,
721.0142212,-8.815866022E-5,721.0142212,0.02249526046,721.0142212,0.03926228359,721.0142212,0.01930379681,721.0142212,0.007654523943,721.0142212,0.03303131461,
720.0142212,-0.0009971725522,720.0142212,0.02207981981,720.0142212,0.03825047985,720.0142212,0.01864213683,720.0142212,0.006684484892,720.0142212,0.0312202964,
719.013916,-0.0005605352926,719.013916,0.02247631364,719.013916,0.04180153087,719.013916,0.01908015646,719.013916,0.006990973372,719.013916,0.03248235956,
718.0131836,-0.0001258393459,718.0131836,0.02278706245,718.0131836,0.03963244334,718.0131836,0.01836576872,718.0131836,0.006682513282,718.0131836,0.03236138821,
717.012207,-0.0006225253455,717.012207,0.02157673426,717.012207,0.03867979348,717.012207,0.01775496081,717.012207,0.006210228428,717.012207,0.03199595213,
716.0108643,1.250310288E-5,716.0108643,0.02381743863,716.0108643,0.03873389959,716.0108643,0.01858415268,716.0108643,0.00678849034,716.0108643,0.03296322376,
715.0091553,-0.0007054923335,715.0091553,0.02159558795,715.0091553,0.03923683986,715.0091553,0.01827042736,715.0091553,0.007584316656,715.0091553,0.03292918205,
714.0071411,-0.000937973964,714.0071411,0.02233888581,714.0071411,0.03911386058,714.0071411,0.01876750588,714.0071411,0.007387375925,714.0071411,0.0333269313,
713.0047607,-0.0008837273344,713.0047607,0.02249155194,713.0047607,0.03888813779,713.0047607,0.01810541935,713.0047607,0.007044430822,713.0047607,0.03366548941,
712.0020752,-0.0001343791519,712.0020752,0.02254577912,712.0020752,0.03875806928,712.0020752,0.01883275993,712.0020752,0.007030802779,712.0020752,0.03306371719,
710.9990234,-0.0003676839115,710.9990234,0.02424439788,710.9990234,0.03952945396,710.9990234,0.01955685206,710.9990234,0.007775522768,710.9990234,0.03371673822,
709.9956665,0.00022739009,709.9956665,0.02412838303,709.9956665,0.03960593045,709.9956665,0.01918067969,709.9956665,0.007997581735,709.9956665,0.03400582448,
708.9919434,0.0002297469618,708.9919434,0.0228606984,708.9919434,0.03881765157,708.9919434,0.01965198852,708.9919434,0.007393352687,708.9919434,0.03416295722,
