blank,,workingstock,,workingstock1,,workingstock2,,workingstock_1in5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
636.0223999,0.0003190840944,636.0223999,0.1661847085,636.0223999,0.03542717919,636.0223999,0.1624717116,636.0223999,0.03035224043,
634.9955444,-0.0009516120772,634.9955444,0.1661249697,634.9955444,0.03487771377,634.9955444,0.1617461741,634.9955444,0.03032756224,
633.9684448,-0.0001754196564,633.9684448,0.1672810018,633.9684448,0.03552976251,633.9684448,0.1634058654,633.9684448,0.03078109026,
632.940979,0.0003601195349,632.940979,0.1695928425,632.940979,0.03506027535,632.940979,0.1639888287,632.940979,0.03211236,
632.0601196,0.0001435355225,632.0601196,0.1703213155,632.0601196,0.03623140976,632.0601196,0.1649515778,632.0601196,0.03148456663,
631.0321045,0.0002063083957,631.0321045,0.1701021641,631.0321045,0.03571760282,631.0321045,0.1658990532,631.0321045,0.03177434206,
630.0038452,-5.601362136E-5,630.0038452,0.1708101779,630.0038452,0.03533217311,630.0038452,0.1659379601,630.0038452,0.03120900318,
628.9752808,5.343192606E-5,628.9752808,0.1709210128,628.9752808,0.03516274318,628.9752808,0.1666798145,628.9752808,0.03260330483,
627.9464111,1.232189607E-5,627.9464111,0.1714929342,627.9464111,0.03589883074,627.9464111,0.1680178046,627.9464111,0.03209463507,
627.06427,0.0001061713338,627.06427,0.171551764,627.06427,0.03598591685,627.06427,0.1672567278,627.06427,0.03145219758,
626.0348511,0.0004068590933,626.0348511,0.1726882905,626.0348511,0.0353343375,626.0348511,0.1679326594,626.0348511,0.03129303828,
625.005127,-0.0003851676884,625.005127,0.1717679948,625.005127,0.03549164161,625.005127,0.1676980257,625.005127,0.03185417131,
623.9750977,-0.001034412999,623.9750977,0.1722137481,623.9750977,0.03480930254,623.9750977,0.1667689383,623.9750977,0.03058417886,
622.9448242,0.0001026758837,622.9448242,0.1737827212,622.9448242,0.03631487489,622.9448242,0.1697153896,622.9448242,0.03297081962,
622.0614624,0.0002809018188,622.0614624,0.1727970243,622.0614624,0.03483726457,622.0614624,0.1683052331,622.0614624,0.03236808255,
