kpi,,bm3_target5uM,,bm3_target10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
582.9312134,-0.001228620531,582.9312134,0.03367687389,582.9312134,0.05128218979,
582.0388794,-0.0008632151876,582.0388794,0.03488725051,582.0388794,0.0533541888,
580.9974976,0.0006320255343,580.9974976,0.03762075678,580.9974976,0.05751049891,
579.9559326,-0.0003450264048,579.9559326,0.03912148252,579.9559326,0.05951641873,
579.0629272,-0.0001986035059,579.0629272,0.04043959454,579.0629272,0.06267827004,
578.020813,3.986457614E-6,578.020813,0.04213883355,578.020813,0.06504041702,
576.9784546,-0.0005075859372,576.9784546,0.04402685538,576.9784546,0.06768672168,
575.935791,-0.000465283927,575.935791,0.04519257694,575.935791,0.07003566623,
575.0418701,0.001288000611,575.0418701,0.04644730687,575.0418701,0.07243656367,
573.9987183,0.0002333729208,573.9987183,0.04732204601,573.9987183,0.07343915105,
572.9552612,-0.0002753394074,572.9552612,0.04802619666,572.9552612,0.0746557191,
572.0606689,-0.0005674120039,572.0606689,0.04868133366,572.0606689,0.07533963025,
571.0167847,-3.090674727E-5,571.0167847,0.04939030483,571.0167847,0.07694689184,
569.9725952,-9.814849909E-5,569.9725952,0.05000707135,569.9725952,0.07825057954,
568.9281006,0.0003484872577,568.9281006,0.0500780642,568.9281006,0.07795847207,
568.0326538,0.0002794253523,568.0326538,0.05021880567,568.0326538,0.07820572704,
566.9876709,0.0003005624167,566.9876709,0.04980482161,566.9876709,0.07810990512,
565.9424438,-0.0001494916214,565.9424438,0.0490956679,565.9424438,0.07739436626,
565.0463257,-0.0003857366682,565.0463257,0.04789420217,565.0463257,0.07591263205,
564.0006104,0.000239304034,564.0006104,0.04780171812,564.0006104,0.07552786171,
562.9545898,-0.0002329629933,562.9545898,0.04787573218,562.9545898,0.07454180717,
562.0578003,-0.0004180641845,562.0578003,0.04782992229,562.0578003,0.07480216026,
561.0113525,-0.0006795442314,561.0113525,0.04682765156,561.0113525,0.07468541712,
559.9645996,-0.000794954889,559.9645996,0.04615356401,559.9645996,0.07321977615,
559.0671997,-0.0005044315476,559.0671997,0.04586747289,559.0671997,0.07182206959,
558.0199585,0.000545319519,558.0199585,0.04598112777,558.0199585,0.07267203927,
556.9724121,0.0003780737752,556.9724121,0.04580125213,556.9724121,0.07286848128,
556.0743408,-0.0005207204958,556.0743408,0.04458974674,556.0743408,0.07174502313,
555.0263672,0.000510149519,555.0263672,0.04528735206,555.0263672,0.07248688489,
553.9781494,-0.001004920457,553.9781494,0.0447740294,553.9781494,0.0718017891,
552.9296265,-0.0009720684029,552.9296265,0.0448971577,552.9296265,0.07268455625,
552.0307007,-0.0009254720062,552.0307007,0.04494957626,552.0307007,0.07331440598,
550.9816895,-0.0001035832902,550.9816895,0.04595698416,550.9816895,0.0739896372,
549.9324341,0.0002337614278,549.9324341,0.04688385129,549.9324341,0.07555872202,
549.0328369,0.0001140685563,549.0328369,0.04759540781,549.0328369,0.07649797201,
547.9831543,0.0003175557067,547.9831543,0.04884007573,547.9831543,0.07778219134,
546.9331055,-0.0005531930947,546.9331055,0.04793963954,546.9331055,0.07794704288,
546.0328979,0.0001269115601,546.0328979,0.04912210256,546.0328979,0.07972124964,
544.9824829,-0.0005359746283,544.9824829,0.04941141978,544.9824829,0.0802590549,
543.9317017,-0.000106740612,543.9317017,0.04981509969,543.9317017,0.0814685151,
543.0308838,-0.0002344635723,543.0308838,0.04993838817,543.0308838,0.0812497288,
541.9796753,-0.0008548446931,541.9796753,0.049892243,541.9796753,0.08121224493,
540.9282227,-8.924565191E-5,540.9282227,0.05156213418,540.9282227,0.08281373978,
540.0267944,-0.0005659125745,540.0267944,0.05064080283,540.0267944,0.08232392371,
538.9748535,-0.0001479907514,538.9748535,0.05213520676,538.9748535,0.08372399956,
538.072998,-0.0003598211624,538.072998,0.05205392838,538.072998,0.08356450498,
537.0205688,-0.0001184897992,537.0205688,0.05244999379,537.0205688,0.08344648033,
535.9678955,0.00019066612,535.9678955,0.0525190793,535.9678955,0.0835967958,
535.0654297,0.000208924117,535.0654297,0.05246048048,535.0654297,0.08315649629,
534.0122681,-1.159675867E-5,534.0122681,0.05198208615,534.0122681,0.08248070627,
532.9589233,-0.0004505961842,532.9589233,0.05117538199,532.9589233,0.0818458423,
532.0557861,-0.0002497795213,532.0557861,0.05128749087,532.0557861,0.08098058403,
531.0019531,-0.0002288751857,531.0019531,0.05082773045,531.0019531,0.08074318618,
529.947876,-0.000735677022,529.947876,0.0494337827,529.947876,0.07905907184,
529.0441284,-0.0001135210186,529.0441284,0.05014711991,529.0441284,0.07982206345,
527.989624,4.721857476E-5,527.989624,0.04940196499,527.989624,0.07801806927,
526.9348145,-0.0001981895184,526.9348145,0.04764982685,526.9348145,0.07670742273,
526.0304565,-0.000383305538,526.0304565,0.04723560065,526.0304565,0.07633635402,
524.9752197,5.85026828E-6,524.9752197,0.04775268212,524.9752197,0.07533437014,
524.0704956,0.0003525805369,524.0704956,0.04755254462,524.0704956,0.07509246469,
523.0147705,8.255820285E-5,523.0147705,0.04696128517,523.0147705,0.07376648486,
521.9587402,-0.0001703480375,521.9587402,0.04623467103,521.9587402,0.07222262025,
521.0534668,0.0003335134243,521.0534668,0.04501308501,521.0534668,0.07151005417,
519.9970093,-5.979246998E-5,519.9970093,0.04423459992,519.9970093,0.07064081728,
518.9403076,0.0002244893549,518.9403076,0.04423609003,518.9403076,0.07031235844,
518.0344238,-7.998028013E-5,518.0344238,0.04332800955,518.0344238,0.06927344948,
516.9772949,0.0001416452287,516.9772949,0.04333636165,516.9772949,0.06832580268,
516.0709839,0.0003160273191,516.0709839,0.04309599474,516.0709839,0.06752835214,
515.0133667,-0.0003478198778,515.0133667,0.04143814743,515.0133667,0.06584406644,
513.9555664,0.0004170419124,513.9555664,0.04231720045,513.9555664,0.06579698622,
513.048645,0.0001151301622,513.048645,0.0411827527,513.048645,0.06531713158,
511.990387,0.0004868772521,511.990387,0.04145685956,511.990387,0.06494865566,
510.9318542,-0.0001982930116,510.9318542,0.04020733014,510.9318542,0.06405802816,
510.024353,-0.0001453512668,510.024353,0.04072827101,510.024353,0.06314013153,
508.9653931,0.0004241674615,508.9653931,0.04008728266,508.9653931,0.06358270347,
508.0575256,-0.0001792492258,508.0575256,0.0393665731,508.0575256,0.06212078407,
506.9981079,-0.0001192144045,506.9981079,0.0391414538,506.9981079,0.06176790223,
505.9384766,0.0001456070895,505.9384766,0.03872532398,505.9384766,0.06152788922,
505.0299988,-6.191481953E-5,505.0299988,0.0390221253,505.0299988,0.06107816845,
503.9699097,0.0003566479718,503.9699097,0.03884363547,503.9699097,0.06064254791,
503.0610657,0.0002365068212,503.0610657,0.03787901253,503.0610657,0.06035847217,
502.0005188,3.766571899E-5,502.0005188,0.03871997446,502.0005188,0.06041764095,
500.9397583,0.0001039445997,500.9397583,0.03744143248,500.9397583,0.05999251828,
500.0303345,0.00017950451,500.0303345,0.03721022978,500.0303345,0.059531115,
498.9691467,0.0004587603617,498.9691467,0.03756517917,498.9691467,0.05905943364,
498.0593262,0.0008053079364,498.0593262,0.03721601143,498.0593262,0.05935708433,
496.9976807,0.0003270111047,496.9976807,0.03750280663,496.9976807,0.05898319185,
495.9358215,0.0005766560789,495.9358215,0.03744259104,495.9358215,0.0590021722,
495.0254517,-8.287896344E-5,495.0254517,0.03733978048,495.0254517,0.05847721919,
493.9631348,-0.0001355695422,493.9631348,0.03714604676,493.9631348,0.05977629498,
493.0523987,0.0001069998907,493.0523987,0.03727673367,493.0523987,0.05950160325,
491.9896545,-0.0008884806302,491.9896545,0.03686202317,491.9896545,0.05824043602,
490.9266663,-0.0005269256071,490.9266663,0.03683483228,490.9266663,0.05880718678,
490.0153503,0.0005247407244,490.0153503,0.03763303906,490.0153503,0.05947123468,
488.9519653,-0.0004786782956,488.9519653,0.03715540841,488.9519653,0.05970295891,
488.0402832,0.0002331398282,488.0402832,0.03791694716,488.0402832,0.06017355621,
486.9764404,2.223661613E-5,486.9764404,0.03835491836,486.9764404,0.06077633426,
486.0643921,-0.0005533482181,486.0643921,0.03755183145,486.0643921,0.05999902636,
485.0001526,-6.020658839E-5,485.0001526,0.03827711195,485.0001526,0.06131233275,
483.9356384,4.167660791E-6,483.9356384,0.0389236398,483.9356384,0.06187988818,
483.0230408,0.0001744028996,483.0230408,0.03896787018,483.0230408,0.06188403443,
481.9581299,0.00014659109,481.9581299,0.03939621896,481.9581299,0.06364575773,
481.045166,0.0002368435235,481.045166,0.03917465359,481.045166,0.06300663203,
479.9798279,0.000320120278,479.9798279,0.03944026679,479.9798279,0.0636574775,
479.0665283,0.0001210855553,479.0665283,0.03990994394,479.0665283,0.06514097005,
478.0007629,0.0001042553049,478.0007629,0.04039510339,478.0007629,0.06542427838,
476.9347839,-6.455480616E-5,476.9347839,0.04075255245,476.9347839,0.0664043352,
476.0209045,0.0001677475811,476.0209045,0.04154962301,476.0209045,0.06784720719,
474.9544983,-0.0007880300982,474.9544983,0.04113437235,474.9544983,0.06830517203,
474.0402832,5.260347461E-5,474.0402832,0.04254516959,474.0402832,0.06976775825,
472.9734802,0.0005069100298,472.9734802,0.04339170828,472.9734802,0.07142966986,
472.0588684,-0.0003806674795,472.0588684,0.04373047873,472.0588684,0.07257991284,
470.9916687,-7.925560203E-5,470.9916687,0.04508573562,470.9916687,0.07450406998,
469.9241943,0.0009826031746,469.9241943,0.04620533064,469.9241943,0.07671974599,
469.0090637,-9.267077985E-6,469.0090637,0.04686660692,469.0090637,0.07786069065,
